angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(453, 265, 373, 373)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(454, 265, 373, 373)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(452, 264, 375, 375)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(454, 263, 374, 374)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(453, 262, 376, 376)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(451, 262, 376, 376)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(452, 261, 379, 379)",0.0,0.02,0.0,0.98,0.0,0.0
0.0,"(452, 262, 377, 377)",0.0,0.03,0.0,0.96,0.01,0.0
0.0,"(451, 262, 376, 376)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(451, 262, 377, 377)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(450, 262, 378, 378)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(451, 263, 376, 376)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(452, 262, 377, 377)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(451, 263, 376, 376)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(451, 262, 377, 377)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(450, 262, 377, 377)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(453, 262, 377, 377)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(452, 263, 377, 377)",0.0,0.03,0.0,0.96,0.01,0.0
0.0,"(451, 263, 376, 376)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(453, 263, 375, 375)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(454, 259, 379, 379)",0.0,0.01,0.0,0.98,0.01,0.0
0.03,"(452, 256, 383, 383)",0.0,0.1,0.0,0.81,0.06,0.0
0.03,"(490, 270, 362, 362)",0.0,0.1,0.0,0.84,0.03,0.0
0.01,"(453, 257, 382, 382)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(453, 260, 378, 378)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(453, 264, 374, 374)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(451, 263, 375, 375)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(451, 264, 374, 374)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(452, 264, 373, 373)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(452, 265, 373, 373)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(450, 265, 373, 373)",0.0,0.01,0.0,0.99,0.0,0.0
0.0,"(450, 265, 373, 373)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(451, 266, 372, 372)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(452, 266, 371, 371)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(450, 267, 370, 370)",0.0,0.02,0.0,0.97,0.01,0.0
0.01,"(451, 258, 382, 382)",0.0,0.02,0.0,0.97,0.01,0.0
0.02,"(448, 257, 386, 386)",0.0,0.03,0.0,0.92,0.03,0.0
0.01,"(446, 254, 390, 390)",0.0,0.03,0.0,0.93,0.03,0.0
0.03,"(447, 254, 392, 392)",0.0,0.02,0.0,0.94,0.01,0.0
0.01,"(447, 255, 391, 391)",0.0,0.01,0.0,0.97,0.01,0.0
