angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"(376, 222, 381, 381)",0.12,0.1,0.03,0.32,0.38,0.0
0.22,"(375, 226, 389, 389)",0.06,0.05,0.03,0.14,0.5,0.0
0.29,"(372, 218, 378, 378)",0.06,0.09,0.04,0.32,0.2,0.01
0.1,"(355, 205, 403, 403)",0.0,0.13,0.06,0.62,0.08,0.01
0.06,"(353, 204, 406, 406)",0.0,0.07,0.06,0.73,0.07,0.0
0.07,"(354, 205, 402, 402)",0.0,0.13,0.03,0.71,0.06,0.0
0.07,"(361, 211, 392, 392)",0.0,0.18,0.02,0.68,0.05,0.01
0.13,"(361, 203, 396, 396)",0.0,0.12,0.04,0.61,0.1,0.01
0.08,"(366, 210, 394, 394)",0.0,0.21,0.02,0.58,0.09,0.01
0.05,"(371, 214, 389, 389)",0.0,0.22,0.03,0.57,0.13,0.01
0.1,"(391, 223, 372, 372)",0.01,0.25,0.02,0.51,0.1,0.01
0.06,"(376, 217, 388, 388)",0.0,0.14,0.03,0.67,0.09,0.01
0.13,"(372, 217, 395, 395)",0.01,0.22,0.06,0.37,0.2,0.01
0.49,"(366, 212, 402, 402)",0.02,0.3,0.01,0.05,0.13,0.0
0.32,"(367, 212, 399, 399)",0.01,0.45,0.01,0.06,0.13,0.01
0.34,"(367, 209, 397, 397)",0.02,0.28,0.05,0.17,0.12,0.01
0.2,"(378, 212, 393, 393)",0.01,0.37,0.03,0.23,0.15,0.01
0.13,"(372, 201, 400, 400)",0.0,0.22,0.02,0.45,0.18,0.01
0.11,"(372, 202, 399, 399)",0.0,0.2,0.03,0.49,0.16,0.01
0.07,"(371, 201, 400, 400)",0.0,0.19,0.03,0.61,0.1,0.01
0.09,"(386, 216, 385, 385)",0.0,0.24,0.03,0.53,0.11,0.01
0.08,"(388, 220, 383, 383)",0.0,0.3,0.05,0.45,0.11,0.02
0.06,"(378, 218, 388, 388)",0.0,0.22,0.03,0.55,0.14,0.01
0.07,"(379, 220, 385, 385)",0.0,0.26,0.02,0.49,0.15,0.01
0.04,"(377, 218, 386, 386)",0.0,0.12,0.03,0.65,0.15,0.01
0.02,"(378, 225, 377, 377)",0.02,0.06,0.01,0.26,0.64,0.0
0.03,"(376, 222, 379, 379)",0.03,0.04,0.01,0.28,0.6,0.0
0.06,"(374, 217, 384, 384)",0.0,0.06,0.03,0.54,0.3,0.0
0.03,"(388, 224, 375, 375)",0.0,0.03,0.03,0.83,0.08,0.0
0.04,"(382, 217, 383, 383)",0.0,0.04,0.03,0.82,0.08,0.0
0.02,"(384, 220, 380, 380)",0.0,0.03,0.02,0.87,0.06,0.0
0.04,"(387, 222, 378, 378)",0.0,0.08,0.05,0.76,0.07,0.01
0.07,"(392, 228, 373, 373)",0.0,0.13,0.04,0.65,0.1,0.01
0.06,"(391, 229, 375, 375)",0.0,0.18,0.03,0.59,0.13,0.01
0.07,"(376, 222, 383, 383)",0.0,0.12,0.02,0.65,0.13,0.01
0.08,"(375, 222, 385, 385)",0.0,0.1,0.04,0.65,0.12,0.01
0.08,"(395, 232, 372, 372)",0.0,0.25,0.03,0.52,0.1,0.02
0.06,"(377, 225, 382, 382)",0.0,0.13,0.03,0.66,0.11,0.0
0.08,"(394, 235, 370, 370)",0.0,0.21,0.03,0.53,0.14,0.01
0.07,"(393, 235, 372, 372)",0.0,0.22,0.04,0.53,0.12,0.01
0.05,"(371, 219, 393, 393)",0.0,0.22,0.04,0.58,0.1,0.01
0.07,"(370, 220, 392, 392)",0.0,0.22,0.04,0.55,0.11,0.01
0.12,"(371, 227, 385, 385)",0.0,0.21,0.05,0.51,0.1,0.02
0.06,"(366, 224, 390, 390)",0.0,0.15,0.09,0.6,0.08,0.02
0.08,"(366, 225, 389, 389)",0.0,0.18,0.09,0.57,0.07,0.02
0.04,"(379, 237, 369, 369)",0.0,0.06,0.01,0.82,0.06,0.0
0.07,"(367, 226, 388, 388)",0.0,0.16,0.07,0.62,0.06,0.02
0.1,"(366, 227, 388, 388)",0.0,0.23,0.05,0.52,0.07,0.02
0.03,"(378, 239, 367, 367)",0.0,0.06,0.01,0.83,0.06,0.0
0.09,"(365, 227, 388, 388)",0.0,0.19,0.05,0.57,0.07,0.02
0.08,"(366, 226, 389, 389)",0.0,0.19,0.08,0.55,0.07,0.03
0.11,"(366, 227, 388, 388)",0.0,0.25,0.06,0.48,0.07,0.04
0.1,"(368, 228, 387, 387)",0.0,0.22,0.07,0.52,0.06,0.03
0.1,"(369, 230, 385, 385)",0.0,0.24,0.06,0.51,0.05,0.03
